iter	Passed	Remaining
0	180	180017
1	340	170043
2	501	166522
3	673	167757
4	825	164292
5	969	160692
6	1127	159982
7	1296	160791
8	1449	159636
9	1607	159159
10	1764	158601
11	1924	158438
12	2061	156527
13	2219	156323
14	2376	156060
15	2514	154635
16	2657	153676
17	2804	152996
18	2968	153260
19	3141	153938
20	3308	154223
21	3444	153134
22	3576	151943
23	3731	151729
24	3852	150242
25	3972	148798
26	4109	148087
27	4224	146658
28	4372	146387
29	4493	145294
30	4640	145038
31	4764	144133
32	4892	143350
33	5024	142764
34	5163	142352
35	5300	141934
36	5419	141059
37	5544	140364
38	5671	139744
39	5798	139159
40	5916	138393
41	6047	137950
42	6158	137055
43	6298	136852
44	6414	136128
45	6534	135527
46	6669	135236
47	6799	134853
48	6920	134319
49	7036	133700
50	7171	133441
51	7303	133155
52	7415	132503
53	7545	132189
54	7666	131721
55	7799	131469
56	7904	130773
57	8039	130570
58	8169	130297
59	8286	129824
60	8401	129329
61	8530	129054
62	8651	128676
63	8785	128483
64	8910	128171
65	9029	127777
66	9143	127321
67	9263	126969
68	9415	127039
69	9563	127057
70	9721	127196
71	10127	130528
72	10409	132186
73	10593	132566
74	10715	132162
75	10830	131672
76	10961	131392
77	11091	131109
78	11213	130727
79	11329	130294
80	11449	129900
81	11572	129550
82	11698	129247
83	11852	129248
84	11974	128906
85	12105	128656
86	12253	128593
87	12402	128537
88	12558	128552
89	12695	128369
90	12838	128244
91	12973	128040
92	13110	127858
93	13254	127747
94	13406	127718
95	13551	127613
96	13742	127930
97	13870	127661
98	14002	127440
99	14137	127241
100	14307	127354
101	14450	127222
102	14604	127184
103	14756	127134
104	14894	126958
105	15021	126691
106	15165	126566
107	15294	126320
108	15427	126105
109	15584	126089
110	15717	125885
111	15913	126170
112	16075	126185
113	16203	125931
114	16344	125783
115	16467	125492
116	16633	125534
117	16782	125445
118	16989	125783
119	17142	125712
120	17313	125776
121	17466	125700
122	17597	125468
123	17734	125288
124	17868	125081
125	18018	124987
126	18167	124883
127	18294	124633
128	18407	124285
129	18536	124053
130	18684	123942
131	18816	123736
132	18934	123430
133	19061	123191
134	19238	123271
135	19367	123037
136	19530	123029
137	19693	123012
138	19827	122817
139	19984	122762
140	20127	122619
141	20266	122453
142	20380	122137
143	20523	121999
144	20648	121754
145	20780	121549
146	20926	121431
147	21059	121236
148	21210	121143
149	21343	120948
150	21476	120752
151	21607	120544
152	21752	120423
153	21883	120215
154	22011	120000
155	22174	119972
156	22303	119755
157	22437	119571
158	22601	119545
159	22741	119394
160	22877	119220
161	23007	119013
162	23142	118834
163	23288	118716
164	23410	118472
165	23577	118453
166	23715	118294
167	23877	118249
168	24017	118100
169	24152	117920
170	24275	117684
171	24454	117721
172	24567	117439
173	24687	117195
174	24797	116902
175	24915	116651
176	25050	116478
177	25157	116178
178	25268	115894
179	25381	115628
180	25501	115391
181	25608	115095
182	25720	114829
183	25843	114611
184	25985	114475
185	26145	114419
186	26262	114179
187	26389	113978
188	26517	113785
189	26641	113578
190	26755	113327
191	26863	113050
192	26989	112853
193	27099	112590
194	27217	112357
195	27369	112271
196	27480	112014
197	27583	111726
198	27711	111542
199	27849	111398
200	27981	111231
201	28117	111078
202	28245	110895
203	28405	110836
204	28539	110676
205	28678	110536
206	28826	110433
207	28946	110221
208	29093	110110
209	29229	109958
210	29375	109843
211	29496	109639
212	29680	109665
213	29805	109470
214	29941	109322
215	30075	109162
216	30284	109275
217	30427	109147
218	30571	109023
219	30724	108931
220	30870	108814
221	31008	108667
222	31194	108690
223	31324	108515
224	31461	108366
225	31591	108193
226	31757	108142
227	31923	108092
228	32085	108027
229	32241	107939
230	32390	107827
231	32561	107790
232	32717	107700
233	32879	107630
234	33038	107552
235	33199	107477
236	33351	107371
237	33499	107253
238	33633	107092
239	33764	106921
240	33901	106768
241	34034	106604
242	34179	106478
243	34314	106318
244	34476	106244
245	34619	106109
246	34734	105891
247	34891	105800
248	35036	105671
249	35186	105558
250	35325	105414
251	35481	105317
252	35629	105199
253	35766	105046
254	35917	104936
255	36047	104763
256	36182	104604
257	36348	104536
258	36512	104461
259	36647	104303
260	36780	104141
261	36917	103990
262	37049	103823
263	37179	103652
264	37309	103479
265	37443	103320
266	37575	103156
267	37701	102974
268	37847	102849
269	37973	102669
270	38138	102594
271	38264	102414
272	38395	102246
273	38533	102099
274	38653	101905
275	38772	101707
276	38897	101526
277	39016	101331
278	39156	101188
279	39289	101029
280	39408	100836
281	39543	100682
282	39688	100553
283	39844	100452
284	39978	100295
285	40107	100129
286	40219	99919
287	40341	99732
288	40455	99529
289	40573	99336
290	40700	99164
291	40809	98949
292	40931	98767
293	41044	98561
294	41156	98356
295	41274	98166
296	41390	97971
297	41502	97767
298	41608	97550
299	41727	97363
300	41851	97191
301	41970	97003
302	42080	96797
303	42220	96662
304	42350	96503
305	42461	96301
306	42573	96102
307	42688	95911
308	42804	95721
309	42923	95540
310	43038	95348
311	43148	95148
312	43271	94976
